Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;src/jvm/backtype/storm/transactional/ITransactionalState.java;15;32;16;16;8;1;0;2;17;No
1;src/jvm/backtype/storm/tuple/IndifferentAccessMap.java;97;344;172;168;57.33;2;0;3;6;No
1;src/jvm/backtype/storm/utils/ThriftTopologyUtils.java;41;123;123;41;41;3;0;3;252;No
1;src/jvm/backtype/storm/topology/BoltDeclarer.java;5;17;16;5;4;3;0;4;295;No
1;src/jvm/backtype/storm/topology/ComponentConfigurationDeclarer.java;12;50;43;11;4.78;4;0;9;396;No
1;src/jvm/backtype/storm/topology/SpoutDeclarer.java;5;15;15;5;5;3;0;3;283;No
1;src/jvm/backtype/storm/topology/base/BaseBasicBolt.java;16;48;48;16;16;3;0;3;283;No
1;src/jvm/backtype/storm/topology/base/BaseComponent.java;11;41;37;12;7.4;4;0;5;301;No
1;src/jvm/backtype/storm/topology/base/BaseRichBolt.java;9;27;27;9;9;3;0;3;283;No
1;src/jvm/backtype/storm/topology/base/BaseRichSpout.java;25;91;91;33;22.75;3;0;4;290;No
1;src/jvm/backtype/storm/clojure/RichShellBolt.java;34;110;106;34;21.2;4;0;5;261;No
1;src/jvm/backtype/storm/testing/TestConfBolt.java;45;135;135;45;45;3;0;3;251;No
1;src/jvm/backtype/storm/topology/BaseConfigurationDeclarer.java;37;123;116;29;14.5;4;0;8;375;No
1;src/jvm/backtype/storm/topology/base/BaseTransactionalSpout.java;8;90;57;34;7.13;4;0;8;297;No
1;src/jvm/backtype/storm/transactional/state/TransactionalState.java;121;424;395;123;32.92;4;0;12;334;No
1;src/jvm/backtype/storm/transactional/partitioned/PartitionedTransactionalSpoutExecutor.java;121;446;408;125;27.2;3;0;15;322;No
1;src/jvm/backtype/storm/topology/base/BasePartitionedTransactionalSpout.java;8;70;47;22;6.71;4;0;7;293;No
1;src/jvm/backtype/storm/transactional/partitioned/IPartitionedTransactionalSpout.java;27;189;175;52;17.5;4;0;10;342;No
1;src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java;126;458;425;132;38.64;4;0;11;296;No
1;src/jvm/storm/kafka/TransactionalKafkaSpout.java;113;589;219;160;19.91;1;0;11;59;No
1;src/jvm/storm/kafka/BatchMeta.java;6;18;6;6;2;1;0;3;30;No
1;src/jvm/backtype/storm/testing/DelegateOutputCollector.java;40;166;83;41;16.6;3;0;5;136;No
1;src/jvm/backtype/storm/testing/CountingTransactionalBolt.java;49;49;49;49;49;1;0;1;4;No
1;src/jvm/backtype/storm/topology/base/BaseTransactionalBolt.java;7;32;32;11;8;3;0;4;264;No
1;src/jvm/backtype/storm/transactional/FailedTransactionException.java;19;38;19;19;9.5;1;0;2;18;No
1;src/jvm/backtype/storm/testing/MemoryTransactionalSpout.java;161;586;538;159;31.65;5;0;17;423;No
1;src/jvm/backtype/storm/testing/MemoryTransactionalSpoutMeta.java;20;65;64;21;12.8;3;0;5;258;No
1;src/jvm/backtype/storm/testing/KeyedCountingBatchBolt.java;44;132;132;44;44;3;0;3;253;No
1;src/jvm/backtype/storm/testing/KeyedCountingCommitterBolt.java;7;97;59;43;14.75;3;0;4;262;No
1;src/jvm/backtype/storm/testing/KeyedSummingBatchBolt.java;44;143;137;43;27.4;3;0;5;265;No
1;src/jvm/backtype/storm/coordination/BatchBoltExecutor.java;91;231;205;90;17.08;5;0;12;422;No
1;src/jvm/backtype/storm/coordination/BatchOutputCollector.java;21;64;61;27;12.2;3;0;5;278;No
1;src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java;36;74;73;31;14.6;3;0;5;278;No
1;src/jvm/backtype/storm/coordination/FailedBatchException.java;19;40;1;1;0.33;2;0;3;51;No
1;src/jvm/backtype/storm/coordination/IBatchBolt.java;13;32;29;13;7.25;3;0;4;276;No
1;src/jvm/backtype/storm/testing/CountingBatchBolt.java;38;111;88;38;12.57;3;0;7;296;No
1;src/jvm/backtype/storm/topology/base/BaseBatchBolt.java;8;41;27;11;3.86;4;0;7;306;No
1;src/jvm/backtype/storm/transactional/CommitterBoltExecutor.java;45;236;118;100;29.5;1;0;4;52;No
1;src/jvm/backtype/storm/transactional/ICommitterBolt.java;13;28;14;12;3.5;1;0;4;52;No
1;src/jvm/backtype/storm/transactional/BatchBoltExecutor.java;95;126;111;96;55.5;1;0;2;27;No
1;src/jvm/backtype/storm/transactional/BatchOutputCollector.java;19;2;1;1;1;1;0;1;15;No
1;src/jvm/backtype/storm/transactional/BatchOutputCollectorImpl.java;31;4;2;2;2;1;0;1;15;No
1;src/jvm/backtype/storm/transactional/FailedBatchException.java;19;19;19;19;19;1;0;1;15;No
1;src/jvm/backtype/storm/transactional/IBatchBolt.java;13;7;2;1;1;1;0;2;27;No
1;src/jvm/backtype/storm/topology/base/BaseCommitterBolt.java;11;22;11;11;5.5;1;0;2;21;No
1;src/jvm/backtype/storm/testing/CountingCommitBolt.java;40;132;126;40;31.5;3;0;4;261;No
1;src/jvm/backtype/storm/testing/IdentityBolt.java;25;75;75;25;25;3;0;3;252;No
1;src/jvm/backtype/storm/transactional/ICommitter.java;5;27;27;9;9;3;0;3;260;No
1;src/jvm/storm/starter/TransactionalWords.java;219;545;286;186;47.67;3;0;6;82;No
1;src/jvm/storm/starter/TransactionalGlobalCount.java;151;462;309;169;61.8;2;0;5;72;No
1;src/jvm/storm/starter/TransactionalTopWords.java;197;202;202;202;202;1;0;1;1;No
1;src/jvm/backtype/storm/topology/FailedException.java;19;76;76;19;19;4;0;4;286;No
1;src/jvm/backtype/storm/utils/IndifferentAccessMap.java;87;488;484;160;96.8;3;0;5;204;No
1;src/jvm/backtype/storm/utils/ThreadResourceManager.java;29;174;87;29;14.5;4;0;6;296;No
1;src/jvm/backtype/storm/transactional/partitioned/OpaquePartitionedTransactionalSpoutExecutor.java;142;417;410;129;51.25;3;0;8;208;No
1;src/jvm/backtype/storm/transactional/ICommitterTransactionalSpout.java;14;48;45;14;11.25;3;0;4;188;No
1;src/jvm/backtype/storm/transactional/partitioned/IOpaquePartitionedTransactionalSpout.java;23;107;106;38;17.67;3;0;6;202;No
1;src/jvm/storm/kafka/FailedFetchException.java;7;21;14;7;4.67;1;0;3;11;No
1;src/jvm/storm/kafka/KafkaUtils.java;53;220;110;41;13.75;1;0;8;65;No
1;src/jvm/storm/kafka/OpaqueTransactionalKafkaSpout.java;99;412;204;66;17;1;0;12;64;No
1;src/jvm/storm/kafka/TestTopology.java;23;256;165;37;11;4;0;15;126;No
1;src/jvm/backtype/storm/topology/base/BaseOpaquePartitionedTransactionalSpout.java;8;24;24;8;8;3;0;3;185;No
1;src/jvm/storm/kafka/KafkaConfig.java;35;375;276;85;17.25;5;0;16;135;No
1;src/jvm/storm/kafka/KafkaPartitionConnections.java;34;92;80;30;13.33;2;0;6;26;No
1;src/jvm/storm/kafka/StringScheme.java;23;67;67;22;16.75;3;0;4;60;No
1;src/jvm/backtype/storm/hooks/info/BoltAckInfo.java;14;52;41;13;5.13;4;0;8;278;No
1;src/jvm/backtype/storm/hooks/BaseTaskHook.java;44;126;105;43;8.75;3;0;12;311;No
1;src/jvm/backtype/storm/hooks/ITaskHook.java;21;34;30;20;3;3;0;10;299;No
1;src/jvm/backtype/storm/hooks/TaskHook.java;17;23;19;17;9.5;1;0;2;12;No
1;src/jvm/backtype/storm/hooks/info/BoltEmitInfo.java;22;44;22;22;11;1;0;2;12;No
