Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;10;27;27;27;27.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;11;28;28;28;28.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;12;31;30;29;15.00;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;407;634;600;561;150.00;3;1;4;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;47;96;80;64;40.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;8;31;30;29;15.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;47;66;65;64;32.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;10;43;40;37;20.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;51;90;79;68;39.50;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;122;176;165;153;55.00;2;0;3;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;55;74;73;72;36.50;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;319;415;400;364;66.67;3;1;6;523;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;46;80;78;76;39.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;128;167;163;158;54.33;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;609;1043;890;736;296.67;2;0;3;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;57;78;76;74;38.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;70;100;97;93;32.33;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;5;22;22;22;22.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;363;451;439;426;146.33;2;0;3;468;Yes
